         5003222 function calls (5003144 primitive calls) in 47.319 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        9    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:128(Deserializer)
        1    0.000    0.000    0.001    0.001 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:185(DoubleSerializer)
        1    0.000    0.000    0.007    0.007 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:220(DoubleDeserializer)
        1    0.000    0.000    0.000    0.000 __init__.py:254(IntegerSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:291(IntegerDeserializer)
        1    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:325(StringSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:34(MessageField)
        1    0.000    0.000    0.000    0.000 __init__.py:374(StringDeserializer)
        4    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:48(SerializationContext)
        1    0.000    0.000    0.000    0.000 __init__.py:48(ThrottleEvent)
        1    0.000    0.000    0.000    0.000 __init__.py:65(SerializationError)
        1    0.000    0.000    0.000    0.000 __init__.py:70(Serializer)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:125(__new__)
        4    0.000    0.000    0.000    0.000 abc.py:130(register)
      8/4    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       42    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.004    0.004 decimal.py:2(<module>)
        1    0.000    0.000    0.006    0.006 deserializing_consumer.py:19(<module>)
        1    0.000    0.000    0.000    0.000 deserializing_consumer.py:27(DeserializingConsumer)
        1    0.000    0.000    0.000    0.000 error.py:109(ProduceError)
        1    0.000    0.000    0.000    0.000 error.py:123(KeySerializationError)
        1    0.000    0.000    0.000    0.000 error.py:137(ValueSerializationError)
        1    0.000    0.000    0.002    0.002 error.py:18(<module>)
        1    0.000    0.000    0.000    0.000 error.py:22(_KafkaClientError)
        1    0.000    0.000    0.000    0.000 error.py:49(ConsumeError)
        1    0.000    0.000    0.000    0.000 error.py:71(KeyDeserializationError)
        1    0.000    0.000    0.000    0.000 error.py:90(ValueDeserializationError)
        1    0.000    0.000   47.319   47.319 main.py:1(<module>)
        1    0.022    0.022    0.022    0.022 main.py:13(read_data_init)
        1    0.000    0.000    0.000    0.000 main.py:22(write_data_init)
       16    0.000    0.000    0.000    0.000 main.py:27(delivery_report)
        1    4.785    4.785   47.306   47.306 main.py:34(data_flow)
        1    0.000    0.000    0.000    0.000 numbers.py:12(Number)
